,Prediction,value_count,NCTId
4045,Terminated,1,NCT03089606
4046,Completed,1,NCT03090165
4047,Completed,1,NCT03090412
4048,Completed,1,NCT03090737
4049,Completed,1,NCT03091075
4050,Completed,1,NCT03092323
4051,Completed,1,NCT03092518
4052,Completed,1,NCT03092674
4053,Completed,1,NCT03092856
4054,Completed,1,NCT03093116
4055,Terminated,1,NCT03093155
4056,Completed,1,NCT03093350
4057,Completed,1,NCT03093402
4058,Terminated,1,NCT03093428
4059,Completed,1,NCT03093701
4060,Terminated,1,NCT03093870
4061,Terminated,1,NCT03093922
4062,Terminated,1,NCT03094052
4063,Completed,1,NCT03094169
