,NCTId,ConditionBrowseLeafId
9818,NCT03883581,T4709
8768,NCT02559869,T4709
7459,NCT00007722,T4709
7227,NCT00860951,T4709
4054,NCT03196375,T4709
7076,NCT00635960,T4709
9420,NCT04220190,T4709
9601,NCT04055623,T4709
9641,NCT04026581,T4709
3537,NCT00005766,T4709
2812,NCT03334786,T4709
2539,NCT01366027,T4709
6447,NCT01786603,T4709
6966,NCT01119001,T4709
2585,NCT04322149,T4709
6846,NCT00718393,T4709
3612,NCT00420719,T4709
6895,NCT01257581,T4709
1746,NCT01772602,T4709
2966,NCT01996072,T4706
9052,NCT04548648,T4696
9645,NCT04022980,T4696
8685,NCT00002940,T4696
4056,NCT01682746,T4696
9182,NCT04421560,T4696
9947,NCT03798314,T4696
8719,NCT00006264,T4696
5400,NCT01235793,T4696
6625,NCT01662973,T4693
9073,NCT04526665,T4693
1687,NCT01401244,T4675
2882,NCT00375089,T4675
7791,NCT02058342,T4675
6791,NCT02205450,T4675
3523,NCT00280826,T4665
5943,NCT01673828,T4661
9045,NCT04554914,T4660
7913,NCT00719563,T4660
7355,NCT03386539,T4660
4817,NCT03086395,T4660
3481,NCT02341950,T4659
4689,NCT02880527,T4633
9341,NCT04279847,T4624
7913,NCT00719563,T4624
4906,NCT00940784,T4624
142,NCT02252159,T4624
3481,NCT02341950,T4616
3454,NCT00137696,T4616
2038,NCT03922061,T4616
5857,NCT00133445,T4616
7505,NCT00337428,T4616
4708,NCT01810731,T4616
4537,NCT03890497,T4616
1261,NCT00002103,T4609
5997,NCT03898271,T4609
3828,NCT00002120,T4609
1260,NCT00002317,T4609
1262,NCT00002102,T4609
6686,NCT00000700,T4609
1539,NCT00629330,T4609
1259,NCT00002434,T4609
1262,NCT00002102,T4608
1259,NCT00002434,T4608
1539,NCT00629330,T4608
5997,NCT03898271,T4608
3828,NCT00002120,T4608
1260,NCT00002317,T4608
6686,NCT00000700,T4608
1261,NCT00002103,T4608
5519,NCT01553461,T460
9251,NCT04354246,T4597
7963,NCT00874211,T4597
7913,NCT00719563,T4597
9573,NCT04080531,T4597
1142,NCT00049439,T4596
7913,NCT00719563,T4596
8146,NCT00004084,T4596
6212,NCT02481310,T4596
4006,NCT03032770,T4593
1848,NCT00814905,T4593
8082,NCT00397735,T4593
7992,NCT00369785,T4576
6731,NCT01182883,T4576
7992,NCT00369785,T4575
4056,NCT01682746,T4569
7992,NCT00369785,T4569
9415,NCT04223635,T4562
5718,NCT00440336,T4560
1213,NCT03310580,T4560
2196,NCT00314158,T4560
9336,NCT04284514,T4560
3106,NCT00287521,T4560
