,NCTId,InterventionAncestorId
6683,NCT02987543,D000065607
5891,NCT00811954,D000065607
5417,NCT03431831,D000065607
7856,NCT02386098,D000065607
7437,NCT00823212,D000065607
4616,NCT00027404,D000065607
6852,NCT00859781,D000065607
3679,NCT00084136,D000065607
2190,NCT00308763,D000065607
3700,NCT00729937,D000065607
5296,NCT00298155,D000065607
5845,NCT01480219,D000065607
2230,NCT01299896,D000065607
8488,NCT00063804,D000065607
8131,NCT00481182,D000065607
2814,NCT00531518,D000065607
9554,NCT04090684,D000065607
8360,NCT00074802,D000065607
8914,NCT02341638,D000065607
1572,NCT01618591,D000065607
9818,NCT03883581,D000065607
5096,NCT00000788,D000065607
7027,NCT01500434,D000065607
2442,NCT00004727,D000065607
4910,NCT04570449,D000065607
4123,NCT04171466,D000065607
9760,NCT03933631,D000065607
8363,NCT01046214,D000065607
8795,NCT00183339,D000065607
4084,NCT00000641,D000065607
4274,NCT00358917,D000065607
4297,NCT00006286,D000065607
7974,NCT01641809,D000065607
9265,NCT04342663,D000065607
8889,NCT00178048,D000065607
1820,NCT02415621,D000065607
6282,NCT00298610,D000065607
2448,NCT00734344,D000065607
3828,NCT00002120,D000065607
9212,NCT04388319,D000065607
5070,NCT00138411,D000065607
3969,NCT01177176,D000065607
8280,NCT01910402,D000065607
8852,NCT03723395,D000065607
4134,NCT02961751,D000065607
6446,NCT00481689,D000065607
7894,NCT00002074,D000065607
7893,NCT00002305,D000065607
6209,NCT00851799,D000065607
2635,NCT00924898,D000065607
7112,NCT00113737,D000065607
4671,NCT01077596,D000065607
1908,NCT00118898,D000065607
4270,NCT02188368,D000065607
4175,NCT02655354,D000065607
6595,NCT01533155,D000065607
2773,NCT01723059,D000065607
1762,NCT02995915,D000065607
4160,NCT00100581,D000065607
7895,NCT00002306,D000065607
1141,NCT00414518,D000065607
3872,NCT01751451,D000065607
7348,NCT02689713,D000065607
6926,NCT01510327,D000065607
9895,NCT03833921,D000065607
4024,NCT00356915,D000065607
4159,NCT00703846,D000065607
4823,NCT02485145,D000065607
1403,NCT00006604,D000065607
7742,NCT04169269,D000065427
5791,NCT02769078,D000065427
7338,NCT03026556,D000065427
6200,NCT02666742,D000065427
35,NCT03242278,D000065427
4520,NCT03266783,D000065427
8734,NCT02958969,D000065427
7819,NCT00742859,D000065427
7421,NCT01444612,D000065427
5155,NCT04168203,D000065427
4732,NCT01556191,D000065171
7356,NCT01670877,D000065171
7985,NCT02760030,D000065171
9938,NCT03803761,D000065171
6295,NCT02955394,D000065171
3989,NCT01953588,D000065171
9105,NCT04498520,D000065171
3026,NCT00183963,D000065171
6296,NCT02953860,D000065171
3474,NCT00050856,D000065147
7839,NCT00827112,D000065147
1656,NCT01363037,D000065147
3834,NCT02519777,D000065147
8271,NCT02333045,D000065147
4298,NCT00098748,D000065147
9891,NCT03838367,D000065147
6242,NCT04573478,D000065130
7927,NCT00134056,D000065130
6241,NCT04573920,D000065130
6241,NCT04573920,D000065128
2582,NCT02124824,D000065128
